FFID	Line	Point	Gps-time(us)-UTC Date	UTC-Time	Time-Source	Latitude	Longitude	Comment
176	4.0	26.0	1347334081986375	2022-09-16	03:27:43.986375	GPS	234339.936	1143858.128	
177	4.0	27.0	1347334105637820	2022-09-16	03:28:07.637820	GPS	234340.116	1143858.164	
178	4.0	28.0	1347334127360033	2022-09-16	03:28:29.360033	GPS	234340.260	1143858.200	
179	4.0	29.0	1347334141437316	2022-09-16	03:28:43.437316	GPS	234340.332	1143858.236	
180	4.0	30.0	1347334152813608	2022-09-16	03:28:54.813608	GPS	234340.440	1143858.236	
181	4.0	31.0	1347334168581722	2022-09-16	03:29:10.581722	GPS	234340.548	1143858.272	
182	4.0	32.0	1347334181460215	2022-09-16	03:29:23.460215	GPS	234340.656	1143858.308	
183	4.0	33.0	1347334195057259	2022-09-16	03:29:37.057259	GPS	234340.728	1143858.344	
184	4.0	34.0	1347334206842836	2022-09-16	03:29:48.842836	GPS	234340.800	1143858.344	
185	4.0	35.0	1347334222029907	2022-09-16	03:30:04.029907	GPS	234340.908	1143858.380	
186	4.0	36.0	1347334248017228	2022-09-16	03:30:30.017228	GPS	234341.052	1143858.416	
187	4.0	37.0	1347334261903564	2022-09-16	03:30:43.903564	GPS	234341.160	1143858.452	
188	4.0	38.0	1347334275723689	2022-09-16	03:30:57.723689	GPS	234341.304	1143858.452	
189	4.0	39.0	1347334287703127	2022-09-16	03:31:09.703127	GPS	234341.376	1143858.488	
190	4.0	40.0	1347334303562132	2022-09-16	03:31:25.562132	GPS	234341.484	1143858.524	
191	4.0	41.0	1347334317662486	2022-09-16	03:31:39.662486	GPS	234341.592	1143858.524	
192	4.0	42.0	1347334331658913	2022-09-16	03:31:53.658913	GPS	234341.700	1143858.560	
193	4.0	43.0	1347334361889350	2022-09-16	03:32:23.889350	GPS	234341.844	1143858.596	
194	4.0	44.0	1347334375510643	2022-09-16	03:32:37.510643	GPS	234341.916	1143858.596	
195	4.0	45.0	1347334389108456	2022-09-16	03:32:51.108456	GPS	234341.988	1143858.632	
196	4.0	46.0	1347334402465594	2022-09-16	03:33:04.465594	GPS	234342.132	1143858.632	
197	4.0	47.0	1347334418616748	2022-09-16	03:33:20.616748	GPS	234342.276	1143858.668	
198	4.0	48.0	1347334430325366	2022-09-16	03:33:32.325366	GPS	234342.348	1143858.668	
199	4.0	49.0	1347334442082807	2022-09-16	03:33:44.082807	GPS	234342.492	1143858.668	
200	4.0	50.0	1347334454344164	2022-09-16	03:33:56.344164	GPS	234342.528	1143858.668	
201	5.0	1.0	1347334525638119	2022-09-16	03:35:07.638119	GPS	234342.744	1143858.596	
202	5.0	2.0	1347334541469143	2022-09-16	03:35:23.469143	GPS	234342.744	1143858.596	
203	5.0	3.0	1347334554167741	2022-09-16	03:35:36.167741	GPS	234342.780	1143858.596	
204	5.0	4.0	1347334567092443	2022-09-16	03:35:49.092443	GPS	234342.780	1143858.632	
205	5.0	5.0	1347334584398724	2022-09-16	03:36:06.398724	GPS	234342.816	1143858.668	
206	5.0	6.0	1347334600227960	2022-09-16	03:36:22.227960	GPS	234342.852	1143858.668	
